model,project,fold,precision,recall,f1,p_at_50,n,n_flaky,flaky_rate,roc_auc,avg_precision
random_forest,hector,0,1.0,1.0,1.0,0.2413793103448276,29,7,0.2413793103448276,1.0,1.0
random_forest,hector,1,0.6666666666666666,0.8571428571428571,0.75,0.2413793103448276,29,7,0.2413793103448276,0.9545454545454546,0.8857142857142857
random_forest,hector,2,0.625,0.8333333333333334,0.7142857142857143,0.21428571428571427,28,6,0.21428571428571427,0.9242424242424242,0.7688492063492063
random_forest,hector,3,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.21428571428571427,28,6,0.21428571428571427,0.9924242424242423,0.976190476190476
random_forest,hector,4,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.25,28,7,0.25,0.880952380952381,0.6698412698412698
random_forest,http-request,0,1.0,1.0,1.0,0.12121212121212122,33,4,0.12121212121212122,1.0,1.0
random_forest,http-request,1,0.6666666666666666,0.5,0.5714285714285714,0.12121212121212122,33,4,0.12121212121212122,0.896551724137931,0.675595238095238
random_forest,http-request,2,0.6666666666666666,1.0,0.8,0.12121212121212122,33,4,0.12121212121212122,0.9612068965517241,0.6458333333333333
random_forest,http-request,3,1.0,0.6666666666666666,0.8,0.09375,32,3,0.09375,0.9655172413793103,0.8333333333333333
random_forest,http-request,4,0.6,1.0,0.75,0.09375,32,3,0.09375,0.9770114942528735,0.8666666666666667
random_forest,httpcore,0,0.5,0.6,0.5454545454545454,0.1,143,5,0.03496503496503497,0.9644927536231883,0.7027472527472527
random_forest,httpcore,1,0.25,0.4,0.3076923076923077,0.1,143,5,0.03496503496503497,0.9405797101449276,0.34458333333333335
random_forest,httpcore,2,0.5,0.5,0.5,0.08,142,4,0.028169014084507043,0.983695652173913,0.5416666666666666
random_forest,httpcore,3,0.375,0.75,0.5,0.08,142,4,0.028169014084507043,0.983695652173913,0.6666666666666666
random_forest,httpcore,4,0.5714285714285714,1.0,0.7272727272727273,0.08,142,4,0.028169014084507043,0.9855072463768116,0.5595238095238095
random_forest,incubator-dubbo,0,1.0,0.5,0.6666666666666666,0.06,436,4,0.009174311926605505,0.8292824074074074,0.5647935779816513
random_forest,incubator-dubbo,1,1.0,0.6666666666666666,0.8,0.06,435,3,0.006896551724137931,0.9945987654320988,0.7666666666666666
random_forest,incubator-dubbo,2,0.0,0.0,0.0,0.08,435,4,0.009195402298850575,0.9535962877030162,0.20483511586452763
random_forest,incubator-dubbo,3,0.5,0.25,0.3333333333333333,0.08,435,4,0.009195402298850575,0.9518561484918794,0.21071428571428572
random_forest,incubator-dubbo,4,1.0,0.25,0.4,0.06,435,4,0.009195402298850575,0.9567865429234339,0.3770312878971622
random_forest,java-websocket,0,0.6,0.75,0.6666666666666666,0.13793103448275862,29,4,0.13793103448275862,0.94,0.85
random_forest,java-websocket,1,0.75,0.75,0.75,0.13793103448275862,29,4,0.13793103448275862,0.97,0.8928571428571428
random_forest,java-websocket,2,0.8,0.8,0.8,0.1724137931034483,29,5,0.1724137931034483,0.9916666666666667,0.9666666666666667
random_forest,java-websocket,3,0.7142857142857143,1.0,0.8333333333333334,0.1724137931034483,29,5,0.1724137931034483,1.0,1.0
random_forest,java-websocket,4,1.0,0.8,0.8888888888888888,0.1724137931034483,29,5,0.1724137931034483,0.8541666666666667,0.8344827586206898
random_forest,logback,0,0.25,0.25,0.25,0.04,169,4,0.023668639053254437,0.75,0.15031565656565657
random_forest,logback,1,1.0,0.2,0.3333333333333333,0.1,169,5,0.029585798816568046,0.9914634146341463,0.7892857142857141
random_forest,logback,2,0.3333333333333333,0.2,0.25,0.02,169,5,0.029585798816568046,0.525,0.22549697779474456
random_forest,logback,3,0.0,0.0,0.0,0.06,168,4,0.023809523809523808,0.663109756097561,0.08021242323567905
random_forest,logback,4,0.5,0.25,0.3333333333333333,0.06,168,4,0.023809523809523808,0.6958841463414634,0.4389233954451346
random_forest,okhttp,0,0.4117647058823529,0.35,0.3783783783783784,0.22,162,20,0.12345679012345678,0.7130281690140845,0.34893982107951893
random_forest,okhttp,1,0.3076923076923077,0.4,0.34782608695652173,0.32,162,20,0.12345679012345678,0.8438380281690141,0.37913054729383594
random_forest,okhttp,2,0.42857142857142855,0.6,0.5,0.28,162,20,0.12345679012345678,0.8475352112676057,0.466488014985281
random_forest,okhttp,3,0.3333333333333333,0.25,0.2857142857142857,0.28,162,20,0.12345679012345678,0.7302816901408451,0.32973444719117956
random_forest,okhttp,4,0.3333333333333333,0.35,0.34146341463414637,0.26,162,20,0.12345679012345678,0.748943661971831,0.34302413311334407
random_forest,spring-boot,0,0.8461538461538461,0.6666666666666666,0.7457627118644068,0.54,426,33,0.07746478873239436,0.9456010486544838,0.8296966110037969
random_forest,spring-boot,1,0.8888888888888888,0.9696969696969697,0.927536231884058,0.66,426,33,0.07746478873239436,0.9988433957899607,0.9873095770628978
random_forest,spring-boot,2,1.0,0.90625,0.9508196721311475,0.64,425,32,0.07529411764705882,0.9988072519083969,0.9900265957446809
