model,fold,precision,recall,f1,p_at_50,n,n_flaky,flaky_rate,roc_auc,avg_precision,protocol,variant,project
xgboost,,0.2661290322580645,0.22758620689655173,0.24535315985130113,0.08,431,145,0.33642691415313225,0.3804557511454063,0.28944491507234166,cross_project,static_only,hbase
xgboost,,0.3870967741935484,0.36363636363636365,0.375,0.3,142,33,0.2323943661971831,0.6257992771754239,0.3187722261562516,cross_project,static_only,hector
xgboost,,0.0,0.0,0.0,0.0,163,18,0.11042944785276074,0.47222222222222227,0.12325210029627573,cross_project,static_only,http-request
xgboost,,0.06976744186046512,0.4090909090909091,0.11920529801324503,0.14,712,22,0.03089887640449438,0.6838603425559948,0.08746658464401975,cross_project,static_only,httpcore
xgboost,,0.008547008547008548,0.21052631578947367,0.01642710472279261,0.02,2176,19,0.008731617647058824,0.4146963375057951,0.011028763416520163,cross_project,static_only,incubator-dubbo
xgboost,,0.07407407407407407,0.08695652173913043,0.08,0.28,145,23,0.15862068965517243,0.7330719885958661,0.34505541346973573,cross_project,static_only,java-websocket
xgboost,,0.0,0.0,0.0,0.0,212,0,0.0,,,cross_project,static_only,jimfs
xgboost,,0.07317073170731707,0.4090909090909091,0.12413793103448276,0.06,843,22,0.02609727164887307,0.6013730483888827,0.048206461503654055,cross_project,static_only,logback
xgboost,,0.01639344262295082,1.0,0.03225806451612903,0.02,307,1,0.003257328990228013,0.8529411764705882,0.021739130434782608,cross_project,static_only,ninja
xgboost,,0.09174311926605505,0.1,0.09569377990430622,0.16,810,100,0.12345679012345678,0.3887183098591549,0.11120393693893069,cross_project,static_only,okhttp
xgboost,,0.16666666666666666,0.5714285714285714,0.25806451612903225,0.1,86,7,0.08139534883720931,0.5931283905967452,0.18206591400831776,cross_project,static_only,orbit
xgboost,,0.03982300884955752,0.05521472392638037,0.04627249357326478,0.08,2127,163,0.076633756464504,0.5898926067996952,0.19200986344988924,cross_project,static_only,spring-boot
xgboost,,0.046511627906976744,0.2857142857142857,0.08,0.04,183,7,0.03825136612021858,0.42694805194805197,0.048800877538116086,cross_project,static_only,undertow
xgboost,,0.015384615384615385,0.30434782608695654,0.029288702928870293,0.0,1236,23,0.0186084142394822,0.4399082404387254,0.02642970711360722,cross_project,static_only,wildfly
xgboost,,0.0205761316872428,0.3125,0.03861003861003861,0.04,1145,16,0.013973799126637555,0.5921445969884853,0.02966083446649074,cross_project,static_only,wro4j
xgboost,,0.00980392156862745,0.5,0.019230769230769232,0.0,345,2,0.005797101449275362,0.696793002915452,0.014495028780743067,cross_project,static_only,zxing
xgboost,0.0,0.6,0.7361963190184049,0.6611570247933884,0.96,4448,163,0.03664568345323741,0.951471462012585,0.7359764971027409,mixed_project,dynamic_only,
xgboost,1.0,0.5627906976744186,0.7469135802469136,0.6419098143236074,1.0,4447,162,0.036429053294355744,0.9583776308397078,0.7595377098205007,mixed_project,dynamic_only,
xgboost,2.0,0.5458515283842795,0.7716049382716049,0.639386189258312,1.0,4447,162,0.036429053294355744,0.9685963092614202,0.760580054122084,mixed_project,dynamic_only,
xgboost,3.0,0.5446428571428571,0.7530864197530864,0.6321243523316062,1.0,4447,162,0.036429053294355744,0.9626251494590662,0.7671424859144428,mixed_project,dynamic_only,
xgboost,4.0,0.5789473684210527,0.7469135802469136,0.6522911051212938,1.0,4447,162,0.036429053294355744,0.9509795871328348,0.7551383696049958,mixed_project,dynamic_only,
xgboost,,0.0,0.0,0.0,0.0,1317,4,0.0030372057706909645,0.6317593297791317,0.005359118371521292,cross_project,dynamic_only,achilles
xgboost,,0.0076481835564053535,0.125,0.014414414414414415,0.0,2044,32,0.015655577299412915,0.48006492296222664,0.014087779042371525,cross_project,dynamic_only,activiti
xgboost,,1.0,0.23275862068965517,0.3776223776223776,0.98,187,116,0.6203208556149733,0.9737736765420106,0.9817994477787334,cross_project,dynamic_only,alluxio
xgboost,,0.296875,0.36538461538461536,0.3275862068965517,0.26,324,52,0.16049382716049382,0.8397200226244345,0.4147842463086725,cross_project,dynamic_only,ambari
xgboost,,0.0,0.0,0.0,0.0,6261,1,0.00015971889474524837,0.20047923322683703,0.00019976028765481422,cross_project,dynamic_only,assertj-core
xgboost,,0.0,0.0,0.0,0.02,55,1,0.01818181818181818,0.8888888888888888,0.14285714285714285,cross_project,dynamic_only,commons-exec
xgboost,,0.0,0.0,0.0,0.02,558,3,0.005376344086021506,0.8882882882882883,0.030394183213995715,cross_project,dynamic_only,elastic-job-lite
xgboost,,0.0,0.0,0.0,0.0,427,1,0.00234192037470726,0.607981220657277,0.005952380952380952,cross_project,dynamic_only,handlebars.java
xgboost,,0.6774193548387096,0.14482758620689656,0.23863636363636365,0.66,431,145,0.33642691415313225,0.6603568844948156,0.5190742069074381,cross_project,dynamic_only,hbase
xgboost,,0.0,0.0,0.0,0.14,142,33,0.2323943661971831,0.43730886850152906,0.20479682568052365,cross_project,dynamic_only,hector
xgboost,,0.0,0.0,0.0,0.1,163,18,0.11042944785276074,0.49559386973180075,0.11824091898938054,cross_project,dynamic_only,http-request
xgboost,,0.27906976744186046,0.5454545454545454,0.36923076923076925,0.28,712,22,0.03089887640449438,0.8890645586297762,0.29587923773530944,cross_project,dynamic_only,httpcore
xgboost,,0.05,0.10526315789473684,0.06779661016949153,0.08,2176,19,0.008731617647058824,0.7683917721982285,0.04615098742362041,cross_project,dynamic_only,incubator-dubbo
xgboost,,0.0,0.0,0.0,0.24,145,23,0.15862068965517243,0.7690662865288667,0.2967815206826727,cross_project,dynamic_only,java-websocket
xgboost,,0.0,0.0,0.0,0.0,212,0,0.0,,,cross_project,dynamic_only,jimfs
xgboost,,0.0,0.0,0.0,0.04,843,22,0.02609727164887307,0.6127782083933119,0.03783246403907145,cross_project,dynamic_only,logback
xgboost,,0.0,0.0,0.0,0.02,307,1,0.003257328990228013,0.9411764705882353,0.05263157894736842,cross_project,dynamic_only,ninja
xgboost,,0.14285714285714285,0.01,0.018691588785046728,0.16,810,100,0.12345679012345678,0.6103521126760563,0.16753795137160293,cross_project,dynamic_only,okhttp
xgboost,,0.0,0.0,0.0,0.12,86,7,0.08139534883720931,0.6672694394213382,0.12715243426450323,cross_project,dynamic_only,orbit
xgboost,,0.01675977653631285,0.018404907975460124,0.017543859649122806,0.0,2127,163,0.076633756464504,0.6724632339160097,0.10895671337492423,cross_project,dynamic_only,spring-boot
xgboost,,0.09523809523809523,0.2857142857142857,0.14285714285714285,0.06,183,7,0.03825136612021858,0.5633116883116882,0.10240637165272418,cross_project,dynamic_only,undertow
xgboost,,0.03125,0.13043478260869565,0.05042016806722689,0.06,1236,23,0.0186084142394822,0.7433778988494212,0.04153324945506744,cross_project,dynamic_only,wildfly
xgboost,,0.058823529411764705,0.25,0.09523809523809523,0.06,1145,16,0.013973799126637555,0.6852856510186005,0.09894448473195475,cross_project,dynamic_only,wro4j
xgboost,,0.0,0.0,0.0,0.0,345,2,0.005797101449275362,0.3746355685131195,0.007502400219448636,cross_project,dynamic_only,zxing
xgboost,0.0,0.6555555555555556,0.7239263803680982,0.6880466472303207,0.94,4448,163,0.03664568345323741,0.9551953955516103,0.7362082893278096,mixed_project,without_smells,
xgboost,1.0,0.6190476190476191,0.7222222222222222,0.6666666666666666,1.0,4447,162,0.036429053294355744,0.9556030943428844,0.7604714027901152,mixed_project,without_smells,
xgboost,2.0,0.6157894736842106,0.7222222222222222,0.6647727272727273,0.98,4447,162,0.036429053294355744,0.9693691746978406,0.7650720202444167,mixed_project,without_smells,
xgboost,3.0,0.6038647342995169,0.7716049382716049,0.6775067750677507,0.98,4447,162,0.036429053294355744,0.9629283892994511,0.7851635721446714,mixed_project,without_smells,
xgboost,4.0,0.6197916666666666,0.7345679012345679,0.672316384180791,1.0,4447,162,0.036429053294355744,0.951606955068643,0.7595437339744143,mixed_project,without_smells,
xgboost,,0.0,0.0,0.0,0.0,1317,4,0.0030372057706909645,0.6161462300076161,0.004703326979344552,cross_project,without_smells,achilles
xgboost,,0.002531645569620253,0.03125,0.00468384074941452,0.0,2044,32,0.015655577299412915,0.4010934393638171,0.012260483167255315,cross_project,without_smells,activiti
xgboost,,1.0,0.15517241379310345,0.26865671641791045,0.98,187,116,0.6203208556149733,0.9459689169499756,0.9615762604702786,cross_project,without_smells,alluxio
xgboost,,0.3977272727272727,0.6730769230769231,0.5,0.36,324,52,0.16049382716049382,0.850537330316742,0.4934015508455795,cross_project,without_smells,ambari
xgboost,,0.0,0.0,0.0,0.0,6261,1,0.00015971889474524837,0.19249201277955275,0.00019778481012658228,cross_project,without_smells,assertj-core
xgboost,,0.0,0.0,0.0,0.02,55,1,0.01818181818181818,0.9074074074074074,0.16666666666666666,cross_project,without_smells,commons-exec
xgboost,,0.0,0.0,0.0,0.0,558,3,0.005376344086021506,0.8702702702702703,0.026091806764800725,cross_project,without_smells,elastic-job-lite
xgboost,,0.0,0.0,0.0,0.0,427,1,0.00234192037470726,0.6713615023474178,0.0070921985815602835,cross_project,without_smells,handlebars.java
xgboost,,0.3333333333333333,0.013793103448275862,0.026490066225165563,0.5,431,145,0.33642691415313225,0.6154328430190499,0.4348803270909407,cross_project,without_smells,hbase
xgboost,,0.0,0.0,0.0,0.28,142,33,0.2323943661971831,0.5916041145398944,0.2913679074786571,cross_project,without_smells,hector
xgboost,,0.0,0.0,0.0,0.06,163,18,0.11042944785276074,0.4455938697318007,0.10192611495004113,cross_project,without_smells,http-request
xgboost,,0.2,0.22727272727272727,0.2127659574468085,0.24,712,22,0.03089887640449438,0.8815546772068511,0.22911868574046834,cross_project,without_smells,httpcore
xgboost,,0.07894736842105263,0.15789473684210525,0.10526315789473684,0.1,2176,19,0.008731617647058824,0.8171192933655418,0.10969690306507379,cross_project,without_smells,incubator-dubbo
xgboost,,0.0,0.0,0.0,0.2,145,23,0.15862068965517243,0.674447612259444,0.2225794940400679,cross_project,without_smells,java-websocket
xgboost,,0.0,0.0,0.0,0.0,212,0,0.0,,,cross_project,without_smells,jimfs
xgboost,,0.0,0.0,0.0,0.06,843,22,0.02609727164887307,0.6365850957811982,0.04324309058173416,cross_project,without_smells,logback
xgboost,,0.0,0.0,0.0,0.02,307,1,0.003257328990228013,0.9411764705882353,0.05263157894736842,cross_project,without_smells,ninja
xgboost,,0.14285714285714285,0.01,0.018691588785046728,0.14,810,100,0.12345679012345678,0.5843239436619718,0.15780884400054968,cross_project,without_smells,okhttp
xgboost,,0.0,0.0,0.0,0.1,86,7,0.08139534883720931,0.6184448462929475,0.11714329088278669,cross_project,without_smells,orbit
xgboost,,0.0106951871657754,0.012269938650306749,0.011428571428571429,0.0,2127,163,0.076633756464504,0.6492884185273574,0.09927524055179646,cross_project,without_smells,spring-boot
xgboost,,0.07692307692307693,0.2857142857142857,0.12121212121212122,0.04,183,7,0.03825136612021858,0.5527597402597402,0.09673868962139039,cross_project,without_smells,undertow
xgboost,,0.030303030303030304,0.08695652173913043,0.0449438202247191,0.04,1236,23,0.0186084142394822,0.7259399978493852,0.036822612189390244,cross_project,without_smells,wildfly
xgboost,,0.03488372093023256,0.1875,0.058823529411764705,0.04,1145,16,0.013973799126637555,0.6388396811337467,0.05746230137593201,cross_project,without_smells,wro4j
xgboost,,0.0,0.0,0.0,0.0,345,2,0.005797101449275362,0.4169096209912536,0.0083003300330033,cross_project,without_smells,zxing
xgboost,0.0,0.6329787234042553,0.7300613496932515,0.6780626780626781,0.92,4448,163,0.03664568345323741,0.9545869096792206,0.7484661994415258,mixed_project,without_size,
xgboost,1.0,0.5960591133004927,0.7469135802469136,0.663013698630137,0.98,4447,162,0.036429053294355744,0.9622239509053978,0.780612362285452,mixed_project,without_size,
xgboost,2.0,0.634020618556701,0.7592592592592593,0.6910112359550562,0.98,4447,162,0.036429053294355744,0.9727004912341357,0.7868445014115405,mixed_project,without_size,
xgboost,3.0,0.5829383886255924,0.7592592592592593,0.6595174262734584,0.98,4447,162,0.036429053294355744,0.9603375253900341,0.7640317964457283,mixed_project,without_size,
xgboost,4.0,0.595,0.7345679012345679,0.6574585635359116,1.0,4447,162,0.036429053294355744,0.9540098246827147,0.7695082958089663,mixed_project,without_size,
xgboost,,0.0,0.0,0.0,0.0,1317,4,0.0030372057706909645,0.8118811881188118,0.01186089895767315,cross_project,without_size,achilles
xgboost,,0.015025041736227046,0.28125,0.028526148969889066,0.0,2044,32,0.015655577299412915,0.5167821197813122,0.0156750268785322,cross_project,without_size,activiti
xgboost,,1.0,0.1810344827586207,0.30656934306569344,1.0,187,116,0.6203208556149733,0.9834871296745993,0.9887769987764068,cross_project,without_size,alluxio
xgboost,,0.3625,0.5576923076923077,0.4393939393939394,0.32,324,52,0.16049382716049382,0.8261453619909502,0.4233629584601241,cross_project,without_size,ambari
xgboost,,0.0,0.0,0.0,0.0,6261,1,0.00015971889474524837,0.16757188498402553,0.0001918649270913277,cross_project,without_size,assertj-core
xgboost,,0.0,0.0,0.0,0.02,55,1,0.01818181818181818,0.9259259259259259,0.2,cross_project,without_size,commons-exec
xgboost,,0.0,0.0,0.0,0.02,558,3,0.005376344086021506,0.8918918918918919,0.03228385371242514,cross_project,without_size,elastic-job-lite
xgboost,,0.0,0.0,0.0,0.0,427,1,0.00234192037470726,0.5774647887323944,0.0055248618784530384,cross_project,without_size,handlebars.java
xgboost,,0.8,0.05517241379310345,0.1032258064516129,0.72,431,145,0.33642691415313225,0.7061490233904026,0.5604720501328102,cross_project,without_size,hbase
xgboost,,0.0,0.0,0.0,0.18,142,33,0.2323943661971831,0.49402279677509037,0.22113454150250783,cross_project,without_size,hector
xgboost,,0.0,0.0,0.0,0.02,163,18,0.11042944785276074,0.3373563218390805,0.09081825543721617,cross_project,without_size,http-request
xgboost,,0.2222222222222222,0.18181818181818182,0.2,0.14,712,22,0.03089887640449438,0.8661396574440053,0.15901137820565217,cross_project,without_size,httpcore
xgboost,,0.09523809523809523,0.21052631578947367,0.13114754098360656,0.08,2176,19,0.008731617647058824,0.737061708513286,0.055149958652709476,cross_project,without_size,incubator-dubbo
xgboost,,0.0,0.0,0.0,0.28,145,23,0.15862068965517243,0.7209550962223806,0.25981582953859966,cross_project,without_size,java-websocket
xgboost,,0.0,0.0,0.0,0.0,212,0,0.0,,,cross_project,without_size,jimfs
xgboost,,0.0,0.0,0.0,0.06,843,22,0.02609727164887307,0.6606688074410364,0.043659499457018094,cross_project,without_size,logback
xgboost,,0.0,0.0,0.0,0.02,307,1,0.003257328990228013,0.9803921568627452,0.14285714285714285,cross_project,without_size,ninja
xgboost,,0.25,0.01,0.019230769230769232,0.18,810,100,0.12345679012345678,0.5273239436619718,0.15479721176671268,cross_project,without_size,okhttp
xgboost,,0.0,0.0,0.0,0.14,86,7,0.08139534883720931,0.6799276672694394,0.1338288609251342,cross_project,without_size,orbit
xgboost,,0.0975609756097561,0.09815950920245399,0.09785932721712538,0.02,2127,163,0.076633756464504,0.709135606562293,0.12658970288616234,cross_project,without_size,spring-boot
xgboost,,0.1111111111111111,0.2857142857142857,0.16,0.06,183,7,0.03825136612021858,0.5316558441558441,0.10396718525468919,cross_project,without_size,undertow
xgboost,,0.025,0.08695652173913043,0.038834951456310676,0.02,1236,23,0.0186084142394822,0.7680562027312807,0.040695922625703485,cross_project,without_size,wildfly
xgboost,,0.03529411764705882,0.1875,0.0594059405940594,0.06,1145,16,0.013973799126637555,0.6566098317094774,0.05928070400205715,cross_project,without_size,wro4j
